Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,holdsTotal,hatchesToNo,draughtMeters
9423968,2019-05-27 07:58:24+00:00,-20.09812833,118.61719,1,39.98194444,30,29,Bulk Carrier,2010,182279,295,46,9,9,18.28
9723899,2019-10-19 07:58:11+00:00,-20.06717667,118.6158167,1,39.9825,37,35,Bulk Carrier,2016,206938,300,50,9,9,18.59
9595606,2019-09-12 23:59:42+00:00,-20.10741333,118.58059,1,39.98388889,15,30,Bulk Carrier,2011,179469,291.97,45,9,9,18.22
9702572,2019-11-29 23:58:07+00:00,-20.11041667,118.6305083,1,39.98388889,21,28,Bulk Carrier,2015,182476,292,45,9,9,18.18
9524035,2019-11-04 15:58:57+00:00,-20.09446667,118.58451,1,39.985,23,37,Bulk Carrier,2013,206368,299.7,50,9,9,18.23
9445318,2019-07-29 15:58:32+00:00,-20.11966667,118.5798333,1,39.98583333,24,26,Ore Carrier,2012,228783,324.99,52.5,5,5,18.1
9738129,2019-08-17 07:59:48+00:00,-20.1143,118.5217817,1,39.98583333,26,25,Bulk Carrier,2016,178332,292,45,9,9,16.5
9545297,2019-06-10 15:58:51+00:00,-20.12266667,118.633,1,39.98611111,26,33,Bulk Carrier,2013,180705,292,45,9,9,18.22
9409065,2019-10-29 07:58:53+00:00,-20.09415,118.61745,1,39.98666667,22,37,Bulk Carrier,2009,178369,292,44.98,9,9,17.98
9700184,2019-06-26 15:59:46+00:00,-20.07004333,118.6031267,1,39.98666667,30,30,Bulk Carrier,2015,207560,299.97,50,9,9,18.47
9516519,2019-11-27 23:59:36+00:00,-20.09656667,118.6062333,1,39.98694444,22,25,Bulk Carrier,2011,207906,300,50,9,9,18.2
9758650,2019-12-01 07:58:21+00:00,-20.06402833,118.56634,1,39.98694444,31,24,Bulk Carrier,2017,207389,299.88,50,9,9,18.5
9702649,2019-05-26 15:58:32+00:00,-20.06818167,118.6203733,1,39.98722222,31,28,Ore Carrier,2015,262214,325,57,9,9,18.7
9398163,2019-07-09 23:57:57+00:00,-20.09411333,118.5094183,1,39.9875,17,28,Bulk Carrier,2010,207918,299.7,50,9,9,18.23
9686326,2019-05-23 07:59:27+00:00,-20.07977167,118.5078517,1,39.9875,33,28,Bulk Carrier,2015,181119,291.99,45,9,9,18.3
